product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
Hicell C2 Dezire, , ,3.4,32,32,1.8, ,1050,₹629
Hicell C2 Dezire, , ,3.4,32,32,1.8, ,1050,₹629
Samsung Galaxy A71 ,Prism Crush Black,128,4.4,8,128,6.7,32,4500,"₹32,999"
Redmi Note 6 Pro ,Red,64,4.5,4,64,6.26,20,4000,"₹14,995"
Kechaoda K116 Plus, , ,4,32,32, , ,400,₹999
Muphone MU M360, , ,4.3,32,32, , ,800,₹990
Good One Magic, , ,4.1,32,32, , ,1000,"₹1,499"
iQOO 3 ,5G  , ,4.4,12,256, , ,4440,"₹44,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Vivo V19 ,Piano Black,256,4.4,8,256,6.44,32,4500,"₹31,990"
Honor 20 ,Midnight Black,128,4.4,6,128, , ,3750,"₹22,999"
Detel D1 Champ, , ,3.7,32,32, , ,1000,₹649
OPPO Reno3 Pro ,Midnight Black,128,4.4,8,128,6.4,44,4025,"₹29,990"
Redmi Note 8 ,Cosmic Purple,64,4.4,4,64, , ,4000,"₹13,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Lava 34 Plus, , ,4.2,32,32,2.4, ,2500,"₹1,619"
I Kall K6610, , ,3.5,32,64,1.8, ,1000,₹599
Blackbear B5 Nex, , ,3.7,64,64,1.8, ,1050,₹799
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Redmi K20 Pro ,Pearl White,128,4.5,6,128, , ,4000,"₹24,999"
Micromax X512, , ,3.9,56,24, , ,1750,₹985
I Kall K34 New, , ,3.6,32,64,1.8, ,800,₹649
Karbonn K140 Pop, , ,3.9,32,32,1.8, ,1000,₹849
Nokia 150, , ,4.2,4,4,2.4, ,1020,"₹2,135"
OnePlus 7T ,Glacier Blue,256,4.6,8,256, , ,3800,"₹38,084"
Kechaoda K116 Plus, , ,4,32,32, , ,400,₹980
Realme 2 Pro ,Black Sea,128,4.5,8,128,6.3,16,3500,"₹15,490"
Salora VOLT 2, , ,3.9,32,32, , ,2000,₹749
OnePlus 7 ,Red,256,4.6,8,256, , ,3700,"₹37,850"
I Kall K33 New, , ,3.7,32,64, , ,1500,₹749
Nokia 106, , ,4.2,4,4, , , ,"₹1,349"
Easyfone Royale, , ,4.1,32,32,2.4,0,,"₹3,399"
Lava Z41 ,Amber Red,16,4.1,1,16,5,2,,"₹5,049"
OPPO Reno 10x Zoom ,Ocean Green,256,4.5,8,256,6.6,16,4065,"₹41,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Samsung Galaxy M31 ,Ocean Blue,128,4.5,6,128,6.4,32,6000,"₹19,900"
Blackbear C-99 Sultan, , ,3.6,64,64,2.4, ,2500,"₹1,079"
Kechaoda K115, , ,4.1,32,32, , ,850,₹970
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Kechaoda A27, , ,4.1,32,32,0.66, , ,₹945
Lava A1 super, , ,4,32,32,1.8, ,800,"₹1,049"
Kechaoda K115, , ,4.1,32,32, , ,850,₹945
Apple iPhone 7 Plus ,Rose Gold,32,4.5,32, , , ,Apple,"₹36,999"
I Kall K50, , ,3.7,32,64, , ,2000,₹809
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Vivo Y91i ,Black,32,4.3,3,32, , ,4030,"₹10,169"
Karbonn K9 SPY, , ,3.9,Expandable, , , ,1750,"₹1,399"
I Kall K 30, , ,3.8,32,64, , ,1000,₹649
OPPO A9 2020 ,Space Purple,128,4.4,4,128, , ,5000,"₹18,990"
OPPO A9 2020 ,Vanilla Mint,128,4.3,8,128, , ,5000,"₹15,990"
OPPO F11 Pro ,Aurora Green,128,4.4,6,128,6.5,16,4000,"₹17,990"
Micromax X740, , ,3.8,128,32, , ,1800,"₹1,460"
Karbonn KX24, , ,3.9,32,32,2.4, ,3000,"₹1,349"
Lava A7 Wave, , ,4.2,64,512, , ,1750,"₹1,599"
BlackZone M4, , ,3.9,32,32, , ,850,₹705
I Kall K 60, , ,4,32,32, , ,1500,"₹1,999"
OPPO F5 ,Black,64,4.4,6,64,6,20,,"₹18,999"
Kechaoda K9, , ,4.1,32,64,2.4, ,1700,"₹1,250"
Vivo V9 Youth ,Black,32,4.4,4,32,6.3,16,3260,"₹16,990"
JIVI N3720 Power, , ,4.1,1,16,2.8,0,4000,"₹2,299"
Mi A3 ,More Than White,128,4.2,6,128,6.08,32,4030,"₹14,990"
I Kall K33 Combo of Two Mobiles, , ,3.8,32,64,2.4, ,1500,"₹1,299"
Ssky S-40 Prime, , ,3.7,32,32,1.8, ,1000,₹749
Vivo Y66 ,Crown Gold,32,4.3,3,32,5.5,16,,"₹14,990"
Vivo V7 ,Gold,32,4.4,4,32,5.7,24,,"₹18,990"
Nokia 4.2 ,Black,32,4.1,3,32,5.71,8,3000,"₹10,147"
OPPO A83 ,Champagne,16,4.2,2,16,5.7,8,,"₹9,490"
Micromax X811, , ,3.8,32,32, , ,1000,"₹1,476"
OPPO A5s ,Black,32,4.3,3,32,6.2,8,4230,"₹9,490"
Redmi K20 ,Carbon Black,128,4.5,6,128, , ,4000,"₹24,999"
Samsung Galaxy A30s ,Prism Crush Black,64,4.3,4,64, , ,4000,"₹18,900"
I Kall K20 New Combo of Two Mobiles, , ,3.4,32,64, , ,1000,"₹1,199"
Karbonn KX1, , ,3.9,32,32, , ,800,₹899
I Kall K3310, , ,3.7,32,64,1.8, ,1000,₹639
Nokia 216/216 DS, , ,4.3,16,,2.4,0.3,,"₹2,450"
Samsung Galaxy S20+ ,Cosmic Black,128,4.5,8,128,6.7,10,,"₹77,999"
MTR MT 310, , ,3.7,64,64, , ,800,₹650
Redmi K20 ,Pearl White,64,4.5,6,64, , ,4000,"₹21,999"
Dublin D613, , ,4.5,32,64, , ,1800,₹649
Kechaoda K33, , ,4.1,32,32, , ,1000,₹970
I Kall K33 New, , ,3.7,32,64, , ,1500,₹749
Jivi N3, , ,3.7,0.032,32,2.4, ,1450,₹949
Vivo S1 ,Skyline Blue,64,4.4,6,64,6.38,32,4500,"₹18,990"
Vivo Y15 ,Burgundy Red,64,4.4,4,64,6.35,16,5000,"₹12,900"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Lava 34 Super, , ,4,32,32,2.4, ,2500,"₹1,699"
Google Pixel 3a ,Just Black,64,4.5,4,64, , ,,"₹30,999"
Tecno Camon 15 Pro ,Ice Jadite,128,4.2,6,128,6.53,32,,"₹15,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
I Kall K28 Combo of Two Mobiles, , ,3.4,32,64, , , ,"₹1,299"
I Kall K28 Combo of Two Mobiles, , ,3.4,32,64, , , ,"₹1,199"
I Kall K25 New, , ,3.5,32,64, , ,1000,₹649
Redmi Note 6 Pro ,Rose Gold,64,4.5,6,64,6.26,20,4000,"₹16,675"
Redmi K20 Pro ,Flame Red,256,4.5,8,256, , ,4000,"₹29,999"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
OPPO A9 ,Fluorite Purple,128,4.4,4,128,6.53,16,4020,"₹16,490"
Good One Magic, , ,4.1,32,32, , ,1000,"₹1,399"
Itel Magic 1, , ,4.2,32,32,2.4,0.3,,"₹1,499"
Blackberry Evolve ,Black,64,3.7,4,64,5.99,16,4000,"₹24,999"
Samsung Galaxy A30s ,Prism Crush White,64,4.3,4,64, , ,4000,"₹18,900"
Vivo S1 ,Diamond Black,128,4.4,6,128,6.38,32,4500,"₹19,990"
Lava A1, , ,4.2,24,24,1.77, ,800,₹999
Micromax X381, , ,3.8,32,32, , ,800,₹995
I kall k6300 NEW, , ,4.3,32,32, , ,3000,"₹1,499"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Nokia 2.3 ,Sand,32,4,2,32,6.2,5,4000,"₹9,499"
I Kall K 54, , ,3.6,32,32, , ,1000,₹639
Honor 20 ,Sapphire Blue,128,4.4,6,128, , ,3750,"₹22,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
POCO F1 ,Armoured Edition,256,4.5,8,256,6.18,20,4000,"₹22,999"
Samsung Galaxy A20s ,Blue,64,4.3,4,64,6.5,8,4000,"₹14,900"
Muphone M380, , ,3.9,32,32, , ,800,₹890
I Kall K28, , ,3.4,32,64, , , ,₹639
Samsung Galaxy S10 Lite ,Prism White,128,4.5,8,128,6.7,32,4500,"₹42,999"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Megus Ultra, , ,3.9,32,32, , ,2700,"₹1,099"
Nokia TA-1010/105, , ,4.3,4,4, , , ,"₹1,269"
POCO F1 ,Graphite Black,256,4.5,8,256,6.18,20,4000,"₹22,999"
Micromax X742, , ,3.8,32,32, , ,1000,"₹1,280"
Redmi K20 Pro ,Carbon Black,256,4.5,8,256, , ,4000,"₹29,999"
Detel D1 Champ, , ,3.7,32,32, , ,1000,₹645
I Kall K11 Combo Of Two Mobile, , ,3.4,32,64,1.8, ,1000,"₹1,099"
Micromax X1i-2017, , ,3.9,32,32, , ,1300,"₹1,350"
Huawei Y9 Prime 2019 ,Sapphire Blue,128,4.3,4,128,Data Cable, ,4000,"₹16,899"
Samsung Galaxy A70s ,Prism Crush White,128,4.2,6,128,6.7,32,4500,"₹25,900"
MTR Ferrari, , ,4.1,64,64, , ,800,"₹1,275"
OPPO F9 Pro ,Twilight Blue,64,4.5,6,64,6.3,25,3500,"₹18,990"
Wizphone WP ,Black,16, ,2,16, , ,2400,"₹5,498"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Samsung Galaxy A50 ,White,64,4.4,6,64,6.4,25,4000,"₹18,999"
I Kall K24 New Combo of Two Mobiles, , ,3.6,32,64, , ,1000,"₹1,099"
Jmax M40, , ,3.6,32,32, , ,1050,₹699
OPPO Reno2 ,Luminous Black,256,4.5,8,256,6.5,16,4000,"₹38,990"
Samsung Galaxy A50s ,Prism Crush Black,128,4.3,4,128, , ,4000,"₹18,570"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Kechaoda K111, , ,4.1,32,32, , ,800,₹985
Kechaoda K111, , ,4.1,32,32, , ,800,₹985
LG V30+ ,Black,128,4.3,4,128,6,5,3300,"₹24,999"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
I Kall K11, , ,3.4,32,64, , ,1000,₹599
Mi 10 ,Twilight Grey,128,4.6,8,128, , ,,"₹51,988"
Nokia 105 ss, , ,4.3,4,4, , , ,"₹1,000"
Karbonn K24 Plus Pro, , ,3.8,32,32,2.4, ,1800,"₹1,390"
I Kall K3312 Combo, , ,3.5,32,64,1.8,0.3,,"₹1,199"
POCO F1 ,Steel Blue,128,4.5,6,128,6.18,20,4000,"₹18,999"
Samsung Galaxy A70s ,Prism Crush Red,128,4.4,8,128,6.7,32,4500,"₹29,999"
OPPO A9 ,Marble Green,128,4.4,4,128,6.53,16,4020,"₹16,490"
OnePlus 7 ,Mirror Grey,256,4.6,8,256, , ,3700,"₹36,999"
OnePlus 7 ,Mirror Grey,128,4.6,6,128, , ,3700,"₹32,999"
Peace P4, , ,3.5,64,256, , ,850,₹697
Easyfone Star, , ,3.8,32,32,1.7, , ,"₹3,999"
LG Q Stylus ,Black,32,3.8,3,32,6.2,8,,"₹15,899"
Blackbear I7 Trio, , ,3.7,32,32, , ,1550,"₹1,699"
Jmax M40 Combo of Two, , ,3.8,32,32, , ,1050,"₹1,299"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Micromax X742, , ,3.8,32,32, , ,1000,"₹1,240"
Karbonn KX23, , ,4,32,32, , ,1900,"₹1,399"
Samsung Galaxy S10 Lite ,Prism Black,512,4.5,8,512,6.7,32,4500,"₹47,999"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Apple iPhone 11 Pro Max ,Space Grey,64,4.7,64, , , ,A13,"₹1,17,100"
OPPO R17 Pro ,Emerald Green,128,4.1,8,128, , ,3700,"₹31,590"
Apple iPhone 11 Pro ,Space Grey,512,4.7,512, , , ,A13,"₹1,40,300"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Lava A1, , ,4.2,4,24,1.77, ,800,"₹1,100"
I Kall K23 New Mobile, , ,3.6,64,32, , ,1000,₹649
Snexian Guru 332, , , ,32,32, , ,1000,₹649
Snexian Guru 332, , , ,32,32, , ,1000,₹649
OnePlus 6T ,Speed Orange,256,4.3,10,256, , ,3700,"₹39,999"
Itel it5607, , ,4,32,32, , ,2500,"₹1,139"
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,799"
Karbonn K334, , ,3.7,32,32, , ,1750,₹927
Karbonn K-Pebble, , ,3.9,12,12, , ,800,"₹1,579"
Nokia 2.3 ,Cyan Green,32,4,2,32,6.2,5,4000,"₹9,999"
InFocus Selfie C1, , ,3.9,32,32, , ,1000,₹999
Tecno Camon 15 Pro ,Opal White,128,4.2,6,128,6.53,32,,"₹15,999"
Karbonn K49, , ,3.8,32,32,2.4, ,1450,"₹1,149"
Samsung Guru GT, , ,4.1,153,153, , , ,"₹1,549"
MI3 ,Metallic Grey,16,4.4,2,16, , ,,"₹13,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Apple iPhone 11 Pro ,Gold,64,4.7,64, , , ,A13,"₹1,06,600"
Itel IT 2163, , ,4,32,32,1.8, , ,₹945
Micromax X772, , ,3.9,20,20, , ,1700,"₹1,499"
Micromax X1i-2017, , ,3.8,32,Expandable, , ,1300,"₹1,140"
Grabo G100, , ,3.7,64,64, , ,1000,₹479
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Redmi K20 ,Pearl White,128,4.5,6,128, , ,4000,"₹24,999"
I Kall K65, , ,3.3,32,64, , ,1000,"₹1,399"
Salora Kiano, , ,3.9,32,32, , ,1200,"₹1,299"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Apple iPhone 11 Pro Max ,Silver,64,4.7,64, , , ,A13,"₹1,17,100"
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,599"
Vivo Y81 ,Gold,32,4.3,4,32,6.22,5,,"₹13,950"
OPPO R17 ,Neon Purple,128, ,8,128, , ,3500,"₹22,999"
OPPO R17 ,Ambient Blue,128, ,8,128, , ,3500,"₹22,999"
Tork T13 Banana, , ,4.1,32,32,2.4, ,1000,₹898
Jmax M43, , ,3.6,32,32, , ,1000,₹699
Jivi X606 Plus, , ,3.2,5,32,1.8,0,1800,₹899
Google Pixel 3a XL ,Just Black,64,4.5,4,64, , ,,"₹34,999"
Nokia 110, , ,4.1,4,4,1.77, ,800,"₹2,099"
MTR Shakti, , ,4.1,32,32, , ,800,₹649
MTR Shakti, , ,4.1,32,32, , ,800,₹649
Karbonn K140 Pop, , ,3.9,32,32,1.8, ,1000,₹899
Samsung Galaxy A21s ,White,64,4.3,4,64,6.5,13,5000,"₹16,499"
MTR Banana, , ,4.3,64,64, , ,800,₹649
I Kall K3310 Combo Of Two Mobile, , ,3.7,32,64,1.8, ,1000,"₹1,199"
Redmi Y2 ,Gold,64,4.4,4,64,5.99,16,3080,"₹13,495"
OPPO A3s ,Purple,16,4.4,2,16,6.2,8,4230,"₹7,490"
Nokia 7.2 ,Charcoal,64,4.2,6,64,6.3,20,3500,"₹18,099"
Lava One, , ,4.1,32,25,2.4, ,1000,"₹1,369"
Itel It 2190, , ,4.1,32,32,1.8,0,,"₹1,099"
Redmi Note 6 Pro ,Black,64,4.5,6,64,6.26,20,4000,"₹17,999"
nuvo One-Echo ,Without Accessories , ,3.7,1,Expandable, , ,800,₹599
I Kall K3312, , ,3.5,32,64,1.8, ,1000,₹749
Itel it6130, , ,4.6,32,32, , ,1200,"₹1,425"
Karbonn K338N, , ,3.7,32,32, , ,3000,"₹1,299"
I Kall K73, , ,3.2,32,64, , , ,₹539
Karbonn K19 Rock, , ,3.9,32,32,1.8, ,1750,₹999
Karbonn K140 Pop, , ,3.9,32,32, , ,1000,₹813
GAMMA K1 Nano, , ,3.8,32,32, , ,1000,₹890
Vivo S1 ,Diamond Black,64,4.4,6,64,6.38,32,4500,"₹18,999"
Samsung Guru 1200, , ,4.3,, , , , ,"₹1,200"
I Kall K22 New, , ,3.6,32,64, , ,1000,₹649
Lava H1 Hero 600, , ,4,24,24, , , ,₹799
I Kall K3310 Combo Of Two Mobile, , ,3.7,32,64,1.8, ,1000,"₹1,199"
Ssky K-2, , ,3.6,32,256, , ,1050,₹799
Gamma F1 FOUR SIM, , ,3.8,32,32, , ,2200,"₹1,299"
I Kall K33 Combo of Two Mobiles, , ,3.8,32,64,2.4, ,1500,"₹1,299"
Tork T13 Banana, , ,4.1,32,32,2.4, ,1000,₹899
Micromax X773, , ,3.8,25,25, , ,1000,"₹1,199"
Samsung Galaxy S10 ,Prism Blue,128,4.6,8,128,6.1,10,3400,"₹57,800"
Apple iPhone XS ,Space Grey,512,4.7,512, , , ,A12,"₹1,09,799"
Hicell C9 Metro, , ,3.6,32,64,1.8, ,1050,₹629
Easyfone Elite, , ,4.1,32,32,2.4, ,1000,"₹3,149"
Hicell C9 Metro, , ,3.6,32,64,1.8, ,1050,₹629
Peace P1, , ,3.6,32,32, , ,850,₹750
Peace P3, , ,3.7,32,64, , ,850,₹660
LG Optimus L70 ,Black,4,4.1,1,4,4.5,0.3,,"₹12,791"
Samsung Galaxy A80 ,Phantom Black,128,4.4,8,128,F2.0, ,3700,"₹52,962"
Itel It 2163, , ,4,32,32,1.8, , ,₹948
Apple iPhone 11 Pro ,Silver,64,4.7,64, , , ,A13,"₹1,06,600"
I Kall K3312, , ,3.5,32,64,1.8,0.3,,"₹1,299"
InFocus F229, , ,4,32,32,2.4, ,3000,"₹1,640"
OPPO A5 2020 ,Mirror Black,64,4.4,4,64, , ,5000,"₹15,990"
Alcatel 5V ,Spectrum Black,32,4.4,3,32, , ,4000,"₹12,999"
Inovu A7i, , ,3.4,32,32,1.77, , ,₹735
Realme C2 ,Diamond Blue,16,4.4,2,16,6.1,5,4000,"₹6,499"
InFocus VIBE 2, , ,4.2,32,32, , ,1000,₹990
Itel It 2190, , ,4.1,32,32,1.8, ,1000,"₹1,099"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
MTR MT310, , ,3.8,64,64, , ,800,₹649
I Kall K 2180 Combo of Two Mobiles, , ,3.8,32,32, , ,1000,"₹1,199"
Honor 10 Lite ,Midnight Black,32,4.4,3,32,6.21,24,3400,"₹13,999"
Micromax X412, , ,3.9,32,32, , , ,"₹1,199"
Jivi 12M Plus, , ,4.1,1,16,1.8,0,1000,₹799
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
MTR Simmba, , ,4.2,64,64, , ,800,₹699
Honor 9N ,Midnight Black,64,4.3,4,64,5.84es,16,3000,"₹15,999"
Callbar A35S, , ,3.4,0, , , ,800,₹595
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
POCO F1 ,Rosso Red,64,4.5,6,64,6.18,20,4000,"₹21,999"
Forme N1, , ,3.6,32,32,1.8, ,850,₹799
Yuho O1 ,Onyx Black,16,3.3,2,16,5, ,2000,"₹7,199"
Lava A1200, , ,4.2,32,24,1.8, ,1750,"₹1,349"
Lava 34 Plus, , ,4.2,32,32,2.4, ,2500,"₹1,699"
Jmax M43, , ,3.6,32,32, , ,1050,₹699
Vivo V17Pro ,Glacier Ice White,128,4.5,8,128, , ,4100,"₹25,800"
I Kall K 32, , ,3.7,32,64, , ,1000,₹639
Honor 9i ,Aurora Blue,64,4.3,4,64,5.9,13,3340,"₹19,999"
Gionee Marathon M5 Plus ,Champagne Gold,64,4.1,3,64,6,5,,"₹26,999"
I Kall K28, , ,3.4,32,64, , , ,₹639
Lava A1 super, , ,4.1,4,3,1.8, ,800,₹949
Ssky S-20 Eco, , ,3.8,32,64,1.8, ,1000,₹749
Apple iPhone XS ,Silver,256,4.7,256, , , ,A12,"₹84,900"
I Kall K3310 Combo Of Two Mobile, , ,3.7,32,64,1.8, ,1000,"₹1,199"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Karbonn K2 Boom Box, , ,3.9,32,32, , ,1000,₹950
MTR Shakti, , ,4.1,32,32, , ,800,₹649
Samsung Metro 313 Dual Sim, , ,4.2,16,2, , ,1000,"₹2,025"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
MTR Shakti, , ,4.1,32,32, , ,800,₹649
Vivo Y81 ,Black,32,4.4,3,32,6.1,5,,"₹13,990"
Mi A3 ,Kind of Grey,128,4.2,6,128,6.08,32,4030,"₹17,399"
Samsung Galaxy S10e ,Prism Black,128,4.5,6,128,5.8,10,3100,"₹59,000"
F-Fook F22, , ,3.5,1,20,2.4, ,1400,₹849
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Itel It 5022, , ,4.1,32,32,2.4, ,1000,"₹1,199"
Trio T6*, , ,3.3,32,256, , ,1000,₹715
Intex Eco Selfie 2, , ,3.9,34, , , ,800,₹955
Vivo Y17 ,Mystic Purple,128,4.4,4,128,6.35,20,5000,"₹13,900"
Lava Spark i8, , ,4.1,32,32,2.8, ,1200,"₹1,489"
Huawei P9 ,Prestige Gold,32,4.5,3,32,5.2,8,3000,"₹39,999"
I Kall K130 New, , ,3.4,32,64, , ,800,₹659
Itel It 2161, , ,4,32,32,1.8, , ,₹899
Honor 5X ,Gold,16,4.1,2,16,5.5,5,,"₹13,999"
Mafe Micra, , ,4.3,32,Expandable, , ,1500,₹770
Redmi K20 Pro ,Pearl White,256,4.5,8,256, , ,4000,"₹29,999"
Vivo Y66 ,Crown Gold,32,4.3,3,32,5.5,16,,"₹14,990"
Vivo V7 ,Gold,32,4.4,4,32,5.7,24,,"₹18,990"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
OPPO A83 ,Champagne,16,4.2,2,16,5.7,8,,"₹9,490"
Nokia 4.2 ,Black,32,4.1,3,32,5.71,8,3000,"₹10,147"
Redmi K20 ,Carbon Black,128,4.5,6,128, , ,4000,"₹24,999"
Micromax X811, , ,3.8,32,32, , ,1000,"₹1,476"
Samsung Galaxy A30s ,Prism Crush Black,64,4.3,4,64, , ,4000,"₹18,900"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
I Kall K20 New Combo of Two Mobiles, , ,3.4,32,64, , ,1000,"₹1,199"
Karbonn KX1, , ,3.9,32,32, , ,800,₹899
I Kall K3310, , ,3.7,32,64,1.8, ,1000,₹639
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Nokia 216/216 DS, , ,4.3,16,,2.4,0.3,,"₹2,450"
Redmi K20 ,Pearl White,64,4.5,6,64, , ,4000,"₹21,999"
Samsung Galaxy S20+ ,Cosmic Black,128,4.5,8,128,6.7,10,,"₹77,999"
GAMMA K 28, , , ,32,32, , ,1000,"₹1,099"
MTR MT 310, , ,3.7,64,64, , ,800,₹650
Q-Tel Q8, , ,3.4,32,32, , ,800,₹559
Dublin D613, , ,4.5,32,64, , ,1800,₹649
Apple iPhone XR ,Yellow,128,4.6,128, , , ,,"₹57,800"
Karbonn K Pebble, , ,4,32,32, , ,800,"₹1,690"
Vivo Y91i ,Fusion Black,32,4.3,3,32,6.22,5,,"₹10,190"
Kechaoda K111, , ,4.1,32,32, , ,800,₹985
Samsung Galaxy S20 Ultra ,Cosmic Gray,128,4.1,12,128,6.9,40,,"₹97,999"
Tecno Camon i4 ,Nebula Black,32,4.1,2,32,6.2,16,3500,"₹7,599"
Vivo V17 ,Admiral Blue,128,4.5,8,128,6.44, ,4500,"₹23,949"
